LEMENAGER S S,Stephanie Lemenager,3.402046,2.6,782,29,2009,2013,0,782,4.7,ENGL,ENV,,,,,,
FIORINA C P,Camilla Fiorina,3.401082,2.1,1663,28,2011,2024,0,1663,5.0,ITAL,,,,,,,
HASSEMER K S,Kendall Hassemer,3.400517,2.3,2904,24,2014,2016,0,2904,3.8,ESS,,,,,,,
BAYLIS K R,Robert (Bob) Kennedy,3.399856,3.8,695,159,2021,2024,0,695,5.0,GEOG,,,,,,,
THOMASSON K M,Kelly Thomasson,3.39847,4.3,4183,80,2015,2024,0,4183,2.8,EEMB,ENV,,,,,,
STOPPLE J,Jeffrey Stopple,3.395508,5.0,4074,80,2010,2023,1822,2252,4.3,INT,MATH,,,,,,
GORDON A F,Gordon  Abra,3.391536,3.5,6191,80,2010,2020,48,6143,3.9,SOC,,,,,,,
GILES H,Howard Giles,3.389932,2.2,1480,21,2009,2021,1,1479,4.5,COMM,,,,,,,
WALKER D S,David Walker,3.386639,3.2,1669,38,2014,2024,0,1669,4.4,RG,,,,,,,
BLAKE F D,Felice Blake,3.384409,2.9,2867,47,2011,2024,7,2860,4.4,ENGL,INT,W&L,,,,,
MANN G S,Gurinder Singh Mann,3.381068,1.8,1891,38,2011,2014,0,1891,4.4,GLOBL,RG,,,,,,
NGUYEN T T,Thuc-Quyen Nguyen,3.38102,3.1,843,31,2010,2024,0,843,4.0,CHEM,INT,,,,,,
WAID C J,Candace Waid,3.377372,3.0,3120,73,2010,2023,0,3120,3.1,ENGL,INT,,,,,,
ECKSTEIN M P,Miguel Eckstein,3.377169,3.0,2720,32,2009,2024,299,2421,4.6,PSY,,,,,,,
WACK P W,Paul Wack,3.374919,2.2,2472,26,2010,2019,15,2457,4.3,ENV,,,,,,,
AMAR P E,Paul Amar,3.374402,2.9,2465,40,2011,2023,0,2465,3.9,C,GLOBL,INT,,,,,
ADAMS A J,Ann Adams,3.373382,3.3,1221,38,2009,2023,146,1075,4.0,ARTHI,INT,,,,,,
EL-SOUSSI M,Moh El Soussi,3.371833,2.6,671,25,2011,2018,0,671,3.3,PHYS,,,,,,,
MIELE I,Ilene Miele,3.371611,1.9,3688,25,2009,2020,0,3688,4.2,WRIT,,,,,,,
CASILLAS D I,Dolores Casillas,3.36841,2.9,5774,36,2010,2024,34,5740,5.0,C,CH,ED,INT,LING,,,
