Name,RMP_name,GPA,Difficulty,Students,RMP_Ratings,First,Last,Years,PNP,Letter,RMP_rating,Departments,,,,,,
PRIETO E,Eric Prieto,3.305645,2.9,2604,40,2010,2024,14,9,2595,4.1,C,FR,INT,,,,
NIELSEN E S,Erik Nielsen,3.512239,2.7,2247,31,2010,2024,14,0,2247,3.8,ENV,GLOBL,SOC,,,,
RAPPAPORT E D,Erika Rappaport,3.312792,2.5,2822,52,2009,2024,15,0,2822,4,FEMST,HIST,,,,,
NINH E K,Erin Ninh,3.109258,3.5,3154,50,2010,2024,14,13,3141,3.6,AS,INT,,,,,
FREUND E G,Ernest Freund,3.201962,2.9,25133,200,2012,2024,12,0,25133,4.3,PHYS,,,,,,
JEFFERSON M E,Esperanza Jefferson,3.168528,1.9,1970,55,2009,2017,8,0,1970,4.5,PORT,SPAN,,,,,
CHAVEZ E A,Esteban Chavez,3.063049,3.7,1253,22,2012,2015,3,231,1022,3.5,PSTAT,,,,,,
LEZRA E M,Esther Lezra,3.306347,3.3,2190,40,2011,2023,12,0,2190,2.3,GLOBL,,,,,,
DARIAN-SMITH,Eve Darian-Smith,3.343791,2.8,1667,31,2009,2017,8,0,1667,3.7,GLOBL,INT,LAWSO,,,,
WADE E R,Evelyn Wade,3.77482,1.6,1251,54,2010,2014,4,0,1251,5,GER,,,,,,
LIPMAN E A,Everett Lipman,3.106068,3.7,5570,61,2009,2024,15,98,5472,3.4,PHYS,,,,,,
BLAKE F D,Felice Blake,3.384409,2.9,2867,47,2011,2024,13,7,2860,4.4,ENGL,INT,W&L,,,,
YEGUL F K,Fikret Yegul,2.71786,3.1,1355,89,2009,2016,7,0,1355,2.7,ARTHI,,,,,,
TWINE F W,France Winddance Twine,3.165456,3.4,1569,57,2009,2023,14,11,1558,2.6,INT,SOC,,,,,
CASTELLA-CABE,Francesc Castella,3.6585,2.1,1000,24,2019,2023,4,13,987,4.5,MATH,,,,,,
ROIG F S,Francesc Roig,3.096937,3.1,751,27,2009,2023,14,319,432,3.6,PHYS,,,,,,
DUNN F M,Francis Dunn,3.002074,2.6,8777,138,2009,2024,15,60,8717,3.7,C,CLASS,GREEK,INT,LATIN,,
LOMELI F A,Francisco Lomeli,2.619494,3.3,790,35,2010,2019,9,0,790,2.7,CH,SPAN,,,,,
BROWN F L,Frank Brown,2.919329,3.8,983,23,2011,2024,13,0,983,2.8,CH,CHEM,PHYS,,,,
DUTRA F A,Frank Dutra,3.144283,2.1,1102,24,2010,2012,2,0,1102,3.9,HIST,,,,,,
GIBOU F G,Frederic Gibou,3.629215,2.6,2064,22,2010,2023,13,112,1952,3.9,CMPSC,ME,,,,,
MENARD G,Gabriel Menard,2.758212,3.9,1029,26,2016,2022,6,14,1015,2.6,CHEM,INT,,,,,
CHARNESS G B,Gary Charness,3.546729,3,1605,40,2010,2024,14,0,1605,3.2,ECON,,,,,,
JOHNSON G T,Gaye Johnson,3.240592,2.7,1892,51,2009,2015,6,0,1892,4.2,BL,,,,,,
LIPSITZ G R,George Lipsitz,3.221441,3.3,1749,71,2009,2019,10,0,1749,3.5,BL,INT,SOC,,,,
KOUTROULAKIS,Georgios Koutroulakis,3.147074,3.5,6220,60,2017,2024,7,196,6024,4.3,INT,PHYS,,,,,
ALDANA G V,Gerardo Aldana,3.265984,3.6,1661,47,2009,2021,12,61,1600,3.1,ANTH,CH,INT,,,,
LIM G,Geunho Lim,2.62332,4.2,982,24,2020,2023,3,0,982,2.1,MATH,,,,,,
GUNN G B,Giles Gunn,3.31875,3.1,2336,81,2009,2018,9,0,2336,2.9,ENGL,GLOBL,,,,,
GENOVA G L,Gina Genova,3.429234,3.1,2350,46,2009,2024,15,267,2083,4.5,INT,WRIT,,,,,
VALLIS G L,Gina Vallis,3.498235,2.1,963,35,2010,2015,5,0,963,4.6,WRIT,,,,,,
PERRONE G,Giuliana Perrone,3.224804,2.6,3443,44,2017,2024,7,0,3443,4.6,HIST,,,,,,
BELTZ G,Glenn Beltz,3.433411,2.5,1287,44,2010,2024,14,0,1287,4.8,ME,,,,,,
PATTEN G,Glenn Patten,2.673848,3.5,2019,21,2010,2016,6,0,2019,3,CLASS,GREEK,LATIN,,,,
ABRA G J,Gordon  Abra,3.49068,3.5,6041,80,2014,2024,10,0,6041,3.9,COMM,SOC,,,,,
CHANG G,Grace Chang,3.228337,2.7,1648,87,2010,2022,12,0,1648,3.5,FEMST,,,,,,
HILLIS G A,Greg Hillis,3.317217,2.1,8631,125,2009,2024,15,0,8631,4.1,EACS,RG,,,,,
SIEGEL G D,Greg Siegel,2.755082,4.2,1899,28,2011,2024,13,22,1877,3.2,FAMST,FLMST,INT,MUS,,,
SANTORI G C,Gregg Santori,3.208435,3.2,1150,32,2009,2014,5,0,1150,2.7,POL,,,,,,
GRAVES G R,Gregory Graves,3.212785,2.4,13383,165,2009,2021,12,541,12842,4.3,ENV,HIST,,,,,
WEI G,Gufong Wei,2.732906,3.6,2650,107,2009,2024,15,41,2609,2.2,MATH,,,,,,
CHO G,Gunhee Cho,3.420734,3.1,1336,56,2021,2024,3,0,1336,3.5,MATH,,,,,,
MANN G S,Gurinder Singh Mann,3.381068,1.8,1891,38,2011,2014,3,0,1891,4.4,GLOBL,RG,,,,,
